Time (sec)," ""R1 R1"""," ""R2 R1"""," ""R3 R1"""," ""R4 R1"""," ""R5 R1"""," ""R6 R1"""," ""R7 R1"""," ""R8 R1"""," ""R9 R1"""," ""R10 R1"""," ""R11 R1"""," ""R12 R1"""," ""R13 R1"""," ""R14 R1"""," ""R15 R1"""," ""R16 R1"""," ""R17 R1"""," ""R18 R1"""," ""R19 R1"""," ""R20 R1"""," ""R21 R1"""," ""R22 R1"""," ""R23 R1"""," ""R24 R1"""," ""R25 R1"""," ""R26 R1"""," ""R27 R1""",LED 5 s,LED 10 s,LED 2.5 s,LED 1 s,,
140.48,0.225505,0.227334,0.2205,0.232584,0.191425,0.196469,0.182409,0.180477,0.168552,0.18977,0.192749,0.230272,0.233303,0.234341,0.202823,0.222905,0.232934,0.21427,0.203298,0.200297,0.207309,0.204989,0.229311,0.238713,0.192471,0.204568,0.192531,0,0,0,0,,
142.48,0.2268,0.228165,0.222085,0.235429,0.19187,0.196832,0.184666,0.180216,0.169066,0.190859,0.193139,0.229194,0.233418,0.233571,0.202098,0.222374,0.234967,0.212978,0.201919,0.202976,0.207131,0.202743,0.228713,0.23996,0.187191,0.204034,0.190478,0,0,0,0,,
144.48,0.225833,0.225268,0.221204,0.234806,0.192111,0.197478,0.183319,0.180412,0.169294,0.190934,0.193163,0.227669,0.231386,0.231464,0.19688,0.222922,0.235988,0.212348,0.199481,0.202526,0.204725,0.202429,0.225061,0.240853,0.184496,0.201109,0.188343,0,0,0,0,,
146.48,0.226252,0.22508,0.222336,0.233083,0.191312,0.196545,0.18336,0.179863,0.168921,0.190458,0.193416,0.225809,0.231134,0.231444,0.195058,0.220508,0.236808,0.210738,0.197124,0.201559,0.202069,0.200824,0.223001,0.241297,0.181857,0.198591,0.18644,0,0,0,0,,
148.48,0.226742,0.226101,0.220077,0.233477,0.191166,0.195402,0.184933,0.179716,0.168703,0.189936,0.193269,0.226234,0.231129,0.230907,0.192827,0.220055,0.236328,0.208954,0.197355,0.20029,0.200701,0.201318,0.222193,0.241519,0.181196,0.196797,0.186244,0,0,0,0,,
150.48,0.22658,0.226948,0.219854,0.234848,0.191624,0.196,0.182875,0.180244,0.170552,0.190332,0.194417,0.226813,0.229533,0.233424,0.192729,0.219521,0.236828,0.212305,0.19765,0.201969,0.20162,0.201101,0.223259,0.243165,0.181844,0.198273,0.183347,0,0,0,0,,
152.48,0.224843,0.227257,0.2199,0.235717,0.192175,0.195144,0.182826,0.179788,0.169654,0.190157,0.192945,0.225439,0.229381,0.229298,0.191175,0.218403,0.236738,0.209623,0.194691,0.200605,0.198217,0.198899,0.220453,0.24232,0.179543,0.19725,0.180998,0,0,0,0,,
154.48,0.226797,0.227513,0.22163,0.235862,0.190983,0.196878,0.183823,0.181387,0.16918,0.190824,0.193474,0.226495,0.229513,0.228902,0.190272,0.217944,0.238242,0.210085,0.196014,0.201158,0.199503,0.199529,0.221248,0.24422,0.177733,0.197573,0.181056,0,0,0,0,,
156.48,0.225795,0.226878,0.219127,0.234602,0.19074,0.195509,0.18423,0.180859,0.168288,0.189648,0.193712,0.224153,0.229698,0.223078,0.188961,0.216957,0.238897,0.208591,0.1951,0.199191,0.200551,0.200423,0.219231,0.243671,0.176953,0.196142,0.179207,0,0,0,0,,
158.48,0.226561,0.227703,0.219496,0.236382,0.188845,0.194659,0.181809,0.180404,0.168157,0.191435,0.192698,0.224372,0.228387,0.213585,0.18842,0.216625,0.238444,0.209617,0.194547,0.201398,0.198369,0.198084,0.21833,0.243619,0.175624,0.196641,0.177449,0,0,0,0,,
160.48,0.224592,0.225326,0.219545,0.234671,0.18901,0.194152,0.184085,0.180817,0.169588,0.190274,0.192051,0.223076,0.227723,0.21418,0.187838,0.215667,0.237422,0.20869,0.195301,0.199756,0.198136,0.198954,0.217073,0.245052,0.175744,0.195224,0.178147,0,0,0,0,,
162.48,0.226778,0.226616,0.219645,0.233031,0.189181,0.195262,0.182437,0.179445,0.169395,0.191513,0.192735,0.221003,0.228097,0.227629,0.187718,0.216493,0.237955,0.209473,0.193581,0.200277,0.197656,0.199236,0.218649,0.246197,0.175418,0.193633,0.177391,0,0,0,0,,
164.48,0.226093,0.226227,0.221781,0.234428,0.189684,0.194067,0.182569,0.180413,0.16891,0.189195,0.192671,0.224633,0.22609,0.230568,0.187732,0.215878,0.238105,0.208243,0.194831,0.200587,0.196526,0.19913,0.215109,0.245379,0.175834,0.194137,0.176063,0,0,0,0,,
166.48,0.226172,0.226108,0.220351,0.234672,0.18919,0.195141,0.182105,0.181433,0.16778,0.188568,0.19069,0.222346,0.224988,0.231002,0.186904,0.21661,0.239818,0.208836,0.1955,0.20103,0.194485,0.19973,0.215442,0.246216,0.17468,0.195488,0.176403,0,0,0,0,,
168.48,0.226281,0.22589,0.220687,0.232397,0.188456,0.194808,0.183098,0.179892,0.168074,0.189665,0.190684,0.221148,0.226973,0.227357,0.18593,0.214904,0.238936,0.209012,0.194165,0.199454,0.197181,0.198014,0.212901,0.247527,0.175671,0.194179,0.176073,0,0,0,0,,
170.48,0.22511,0.228135,0.218696,0.233285,0.188485,0.192345,0.183518,0.180166,0.169606,0.188406,0.190515,0.221424,0.224825,0.22613,0.186468,0.214729,0.240073,0.209506,0.195141,0.202095,0.195471,0.19822,0.21271,0.248071,0.175771,0.195117,0.174847,0,0,0,0,,
172.48,0.225667,0.225672,0.217518,0.230725,0.18865,0.19157,0.179642,0.179768,0.168533,0.18726,0.189702,0.219122,0.222942,0.226731,0.186824,0.211525,0.239179,0.207557,0.195101,0.201029,0.195085,0.195726,0.210359,0.245193,0.174947,0.193994,0.174691,0,0,0,0,,
